0000,900123,230952,13.121,2018-01-12
0001,984248,884923,92.11,2018-01-07
0002,992814,642100,73,2018-01-02
0003,772018,900123,21,2018-01-05
0004,884123,442398,128,2018-01-01
0005,884923,992814,9.883,2018-01-18
0006,882341,442398,61.432,2018-01-07
0007,642100,991247,13.98,2018-01-09
0008,992512,134592,19.83,2018-01-07
0009,987721,772018,0.31,2018-01-05
0010,992512,230952,86.421,2018-01-04
0011,994214,772018,32.192,2018-01-18
0012,884123,991247,16.666,2018-01-03
0013,987721,984248,101.02,2018-01-02
0014,881230,772813,6.312,2018-01-15
0015,884123,997231,13.167,2018-01-01
0016,129931,992512,19.212,2018-01-13
0017,997231,772018,21,2018-01-08
0018,123532,134592,69.321,2018-01-06
0019,992512,994214,13.122,2018-01-14
